y,m,d,Prec,Pa_kPa,Rhu_percent,Sun_h,TemAir_mean,TemAir_max,TemAir_min,Wv_ms
1967,1,1,1,66.28,74,8.6,-16.4,-7.9,-24.3,1.3
1967,1,2,0,66.4,60,9.1,-13.5,-4.3,-22.8,1.3
1967,1,3,0.2,66.38,69,6.1,-11.2,-5.3,-16,0.7
1967,1,4,0.8,66.31,76,8.6,-11.5,-5.1,-15.9,0
1967,1,5,1,66.29,60,7.8,-10.2,-3.4,-16,5.7
1967,1,6,0,66.33,47,7.2,-10.1,2.3,-20,2
1967,1,7,0,66.47,56,9.2,-7.1,7.2,-15.3,1.3
1967,1,8,0,66.38,53,7.2,-6.8,0.6,-14.4,1.3
1967,1,9,0,66.25,53,5.3,-2.6,7.2,-9.4,2
1967,1,10,0,66.35,40,6.6,-6.4,0.2,-11.3,4.7
1967,1,11,0,66.63,47,7.3,-13,-3.5,-21.1,4.3
1967,1,12,0,66.51,35,9.5,-13,-0.3,-22.5,2.3
1967,1,13,0,66.23,35,6.2,-10.1,-1.7,-16.4,5.7
1967,1,14,0,66.88,23,9.4,-13.6,-3.9,-24.6,6.3
1967,1,15,0,67,19,9.5,-15.3,-5.1,-26.6,2
1967,1,16,0,66.31,36,7.8,-12.3,-0.6,-22.5,1
1967,1,17,0,66.51,42,7.4,-9.7,0.9,-19.5,0.7
1967,1,18,0,66.57,41,9.5,-11,2.7,-21.6,1.3
1967,1,19,0,66.62,35,6.8,-6.5,0.7,-15.1,1.3
1967,1,20,0,66.62,45,9.2,-8.9,4.6,-19.4,2.3
1967,1,21,0,66.64,36,6.7,-7.8,3.3,-19.9,2.3
1967,1,22,0,66.77,43,9.9,-6.7,4.2,-16.9,1
1967,1,23,0,66.72,46,8.3,-9.4,3.2,-18.2,2
1967,1,24,0,66.45,36,9.1,-8.7,2.7,-19.5,1.3
1967,1,25,0,65.98,43,7.1,-7.5,2.5,-17.8,0.7
1967,1,26,0,65.67,43,8.9,-4.4,5.2,-13.3,1.3
1967,1,27,1,65.79,61,5.9,-7.6,-1.3,-15,2
1967,1,28,0.8,65.97,72,5.6,-9.8,-6.3,-14.3,2.7
1967,1,29,1.7,66.06,74,3.7,-10.1,-4.7,-12.5,1
1967,1,30,0,66.38,62,8.3,-12.1,-4.1,-20.4,1.3
1967,1,31,0,66.35,56,5.1,-14.3,-7.2,-20.9,1
1967,2,1,1,66.28,52,5.8,-13.9,-7,-22.1,1.7
1967,2,2,0,66.36,39,7.1,-13,-1.9,-23.6,4.3
1967,2,3,0,66.63,32,10,-10.5,0.2,-21.1,3.3
1967,2,4,0,66.54,33,10,-10.5,-0.2,-23.8,2
1967,2,5,0,65.85,36,5.1,-5.6,2.2,-14.5,2.3
1967,2,6,1,66.18,73,5.1,-8.4,-3.1,-11.1,2.7
1967,2,7,0,65.87,59,8.5,-8.9,2.8,-16.7,2.3
1967,2,8,0,65.71,45,6,-6.2,5.7,-16.5,2.3
1967,2,9,0,66.1,47,6.3,-6.1,0.3,-10.7,3.3
1967,2,10,0.9,66.14,67,6.6,-6.6,1.3,-13.3,2.7
1967,2,11,1,66.14,50,6.8,-6.5,0.7,-13.4,3
1967,2,12,0.3,65.99,66,5.3,-6.1,3.4,-15.4,1.3
1967,2,13,1,66.27,54,3.6,-9.7,-1.4,-12.6,6
1967,2,14,0,66.57,25,9.8,-11.3,0.7,-23.2,5.7
1967,2,15,0,66.26,32,9.8,-8.9,5.9,-20.5,4.7
1967,2,16,0,66.41,26,7.6,-5.4,1.8,-9.6,5.3
1967,2,17,0,66.58,32,10.2,-8,6.8,-20.1,4.3
1967,2,18,0,66.14,24,8.6,-1.2,11.6,-10.6,4.7
1967,2,19,0,66.02,34,8.5,-2.4,8.8,-12.4,4
1967,2,20,1,65.84,50,5.5,-0.8,7.9,-7.6,2.7
1967,2,21,0.6,65.8,66,3.7,-2.3,5.5,-6.1,2
1967,2,22,0.5,65.84,67,4.3,-5.4,0.4,-8.4,2.7
1967,2,23,2.8,65.96,78,7.4,-10.5,-4.7,-13.3,2
1967,2,24,0.5,65.96,74,7.3,-11.3,-2.8,-17.2,3.3
1967,2,25,0.1,66.27,74,6,-9.8,-5.7,-13.2,1.3
1967,2,26,0.2,66.51,62,8.3,-10.5,-4,-16.6,4.3
1967,2,27,0,66.59,41,5.3,-10.8,-4.3,-18.4,3.7
1967,2,28,0,66.5,33,10.5,-9.9,2.8,-21.1,1
1967,3,1,0,66.2,42,9.7,-3.4,7.6,-12.9,2
1967,3,2,1,66.09,52,5.1,-1.8,6.6,-7.6,2.3
1967,3,3,1,66.07,45,7.5,-2.8,8.3,-11.1,4.3
1967,3,4,0.1,66.19,65,6.1,-5.2,1.1,-9.1,2
1967,3,5,1,66.39,32,0,-6.9,-3.5,-9.7,1.3
1967,3,6,0,66.47,55,10.6,-8.8,0.5,-14.4,2.7
1967,3,7,1,66.13,48,6.7,-5.6,2.8,-11.8,8.7
1967,3,8,0,66.35,34,4.3,-6.3,3.5,-13.5,6
1967,3,9,1,67.11,33,10.6,-9.2,2,-18.2,6
1967,3,10,0,66.96,25,11,-7,5.5,-17.2,2.7
1967,3,11,0,66.65,33,11.1,-5.8,9.9,-17.8,1.3
1967,3,12,0,66.41,30,7.2,-1.4,11.8,-8.9,2
1967,3,13,0,66.38,46,5.8,0.2,10.6,-8.6,3.3
1967,3,14,0,66.08,56,7.1,0.4,11.9,-10.5,1.7
1967,3,15,0.5,66.25,69,4.8,0,6.7,-2.9,1
1967,3,16,0.6,66.26,56,9.7,-0.4,7,-4.3,5.7
1967,3,17,1,66.13,39,8.2,-1.2,10.6,-10.2,2.7
1967,3,18,1.7,66.22,68,5.6,1.8,8.5,-2.8,1.3
1967,3,19,1,66.06,75,5.8,0.4,7.1,-5,4
1967,3,20,0,66.27,45,10.4,-1.6,5.5,-7.5,4.3
1967,3,21,0,66.32,35,9.7,-3,5.2,-8.7,3.3
1967,3,22,4.3,66.26,83,6.9,-5.6,0.2,-7.6,3
1967,3,23,0.2,66.39,84,4.3,-6.8,-0.6,-12.3,1.7
1967,3,24,1,65.94,73,9,0.1,9.6,-5.9,1.7
1967,3,25,2.5,65.78,88,2.4,-0.5,5.9,-2.6,4
1967,3,26,0.1,65.99,66,8.2,-1.5,8.1,-9.7,1
1967,3,27,1,65.9,66,7,1.2,9.9,-6.1,2
1967,3,28,5.4,65.94,79,2.1,0.6,4.9,-1.6,2.3
1967,3,29,7.9,66.08,68,8.6,-1.2,3.5,-5,2.3
1967,3,30,0,66.23,46,11,-3.1,1.7,-7.2,2
1967,3,31,1,66.28,63,7.5,-5.3,-0.4,-10.2,1.3
1967,4,1,0,66,68,10.3,-3.7,3.3,-10,1.7
1967,4,2,0,65.97,52,6.7,1.1,8.6,-4.3,1
1967,4,3,0,66.61,64,9.8,-0.6,5.2,-4.9,2.7
1967,4,4,1,66.45,75,1,-1.9,2.4,-4.9,1.7
1967,4,5,0.2,66.12,88,7.5,-1.1,5.3,-5.2,0.7
1967,4,6,1.6,65.85,83,0.3,0.6,4.3,-2.1,2
1967,4,7,1.4,66.1,67,10.6,1.3,8.7,-3.3,5
1967,4,8,0,66.2,55,9.8,2.5,10.4,-5.2,2.3
1967,4,9,1,66.22,68,2.6,1.4,5.8,-1.4,2
1967,4,10,4.1,66.56,73,4.6,-4.2,-0.8,-7.6,3
1967,4,11,2.6,66.56,73,10.7,-2.1,2.8,-6.2,5
1967,4,12,0,66.8,68,6.6,-2.6,5.5,-8.2,1
1967,4,13,3.5,66.49,72,0.9,-0.8,3.5,-3.1,6
1967,4,14,1,66.86,56,10.1,-1.6,5.7,-7.3,4
1967,4,15,1,66.61,59,7.3,-0.1,7.3,-4.9,2.3
1967,4,16,0.6,66.65,62,5.2,0,3.9,-3.8,3.3
1967,4,17,1,66.47,63,8.6,-0.4,8.2,-5.2,4.7
1967,4,18,0,66.67,51,11.9,1.8,11.1,-6.3,2.3
1967,4,19,0,66.51,53,8.7,4.8,13.9,-1.9,2
1967,4,20,2.4,66.46,75,1.5,2.3,8.3,-0.2,3.7
1967,4,21,1.6,66.94,79,4,0,4.1,-4.1,1.3
1967,4,22,0.5,67.04,75,6,-0.3,4.3,-3.8,3
1967,4,23,0,66.95,49,12.1,1.8,10.5,-6.3,2
1967,4,24,0,66.72,45,10.8,3,11.8,-4.9,3.3
1967,4,25,1,66.64,52,9.5,1.4,10,-5.1,6
1967,4,26,1,66.48,61,9.7,2.1,11.3,-6.2,1.7
1967,4,27,1.1,66.4,63,7.2,4.3,16.2,-4.6,0.3
1967,4,28,0,66.3,38,10.5,9,20.1,-4.4,5
1967,4,29,0.4,66.21,48,7.4,10.3,19.6,-0.8,2
1967,4,30,2,66.61,78,0,5.8,8.5,3.1,3
1967,5,1,1,66.49,74,7.9,7.7,15.8,2.5,2
1967,5,2,1,66.18,71,8.7,7.5,16.5,0.6,2.7
1967,5,3,9,66.18,65,10.8,6.8,12.3,2,4.3
1967,5,4,2.9,66.36,82,2.3,4.9,9.3,1.7,3
1967,5,5,7.3,66.26,90,2.1,1.9,6.9,0.2,3.7
1967,5,6,3.9,66.51,80,0.5,0.8,4.5,-1.8,3
1967,5,7,1,66.97,50,9.1,1.8,6.9,-2.4,3.3
1967,5,8,1,67,55,12,2.6,10.5,-4.3,2
1967,5,9,1,66.89,67,9.3,3.3,10.9,-1.6,2.7
1967,5,10,0,66.77,66,11.1,4.9,11.8,-1.9,2.3
1967,5,11,0.6,66.74,67,11.3,5.4,13.9,-3.3,3
1967,5,12,2.5,66.79,70,7.6,6.1,14.2,-1.8,1.7
1967,5,13,4.5,66.78,83,4.6,5.8,10.9,2.6,2.7
1967,5,14,0.4,66.74,80,6.1,7.1,15.8,2.4,3
1967,5,15,12.9,66.6,91,1.9,5.2,12.7,3,2.3
1967,5,16,18.5,66.58,83,7.3,6,11.3,1.1,4
1967,5,17,15.4,66.77,87,4.3,4.8,11.4,0.4,3.3
1967,5,18,4.4,66.76,82,8.2,6.6,12.9,2.4,3.3
1967,5,19,9.5,66.6,89,0.1,5.7,9.2,4.2,2.3
1967,5,20,1.8,66.66,76,9,6.7,13.3,2,4.3
1967,5,21,1,66.76,62,11.4,8.2,15.8,1,3
1967,5,22,1,66.64,65,9.5,8.8,15.1,3.6,2
1967,5,23,1,66.58,68,9.3,9.1,15,3.5,3
1967,5,24,1,66.75,76,8.5,7.2,15.3,2.5,2.3
1967,5,25,0.9,66.59,78,6,8.9,16.7,4.2,1
1967,5,26,1.8,66.64,72,6.5,10.6,16.6,5.3,1
1967,5,27,4.9,66.59,73,6.2,11.2,16.9,6.5,1.3
1967,5,28,0.2,66.58,71,5.1,12.2,18.3,8,2.7
