time	Qobs
2003-10-01	0.035
2003-10-02	2.328
2003-10-03	2.072
2003-10-04	2.342
2003-10-05	2.730
2003-10-06	2.770
2003-10-07	3.654
2003-10-08	1.813
2003-10-09	2.209
2003-10-10	1.372
2003-10-11	1.607
2003-10-12	1.254
2003-10-13	2.036
2003-10-14	1.331
2003-10-15	0.001
2003-10-16	0.001
2003-10-17	4.439
2003-10-18	2.973
2003-10-19	2.073
2003-10-20	0.617
2003-10-21	0.813
2003-10-22	0.552
2003-10-23	0.001
2003-10-24	0.073
2003-10-25	0.629
2003-10-26	0.921
2003-10-27	1.227
2003-10-28	0.580
2003-10-29	0.001
2003-10-30	0.831
2003-10-31	1.476
2003-11-01	1.615
2003-11-02	1.286
2003-11-03	1.136
2003-11-04	0.421
2003-11-05	7.610
2003-11-06	0.001
2003-11-07	0.001
2003-11-08	0.676
2003-11-09	0.870
2003-11-10	0.001
2003-11-11	1.384
2003-11-12	1.163
2003-11-13	0.613
2003-11-14	0.613
2003-11-15	1.846
2003-11-16	1.298
2003-11-17	0.001
2003-11-18	1.091
2003-11-19	0.815
2003-11-20	4.295
2003-11-21	4.295
2003-11-22	0.843
2003-11-23	0.001
2003-11-24	0.367
2003-11-25	1.613
2003-11-26	1.460
2003-11-27	0.638
2003-11-28	0.638
2003-11-29	0.098
2003-11-30	0.036
2003-12-01	0.404
2003-12-02	0.953
2003-12-03	2.003
2003-12-04	0.195
2003-12-05	0.195
2003-12-06	1.041
2003-12-07	0.001
2003-12-08	0.001
2003-12-09	0.822
2003-12-10	2.521
2003-12-11	1.114
2003-12-12	0.704
2003-12-13	1.322
2003-12-14	0.691
2003-12-15	1.384
2003-12-16	0.711
2003-12-17	0.497
2003-12-18	0.596
2003-12-19	0.001
2003-12-20	0.495
2003-12-21	0.019
2003-12-22	0.777
2003-12-23	6.225
2003-12-24	1.122
2003-12-25	0.001
2003-12-26	0.001
2003-12-27	1.285
2003-12-28	0.941
2003-12-29	0.001
2003-12-30	0.001
2003-12-31	0.001
2004-01-01	0.001
2004-01-02	0.777
2004-01-03	0.001
2004-01-04	0.174
2004-01-05	0.563
2004-01-06	0.897
2004-01-07	0.001
2004-01-08	0.001
2004-01-09	0.001
2004-01-10	0.157
2004-01-11	0.157
2004-01-12	0.057
2004-01-13	0.001
2004-01-14	0.074
2004-01-15	6.075
2004-01-16	6.075
2004-01-17	3.172
2004-01-18	5.918
2004-01-19	0.855
2004-01-20	0.001
2004-01-21	0.001
2004-01-22	0.001
2004-01-23	0.001
2004-01-24	0.001
2004-01-25	0.001
2004-01-26	0.001
2004-01-27	0.001
2004-01-28	0.001
2004-01-29	0.001
2004-01-30	0.001
2004-01-31	0.967
2004-02-01	7.097
2004-02-02	15.149
2004-02-03	15.953
2004-02-04	13.896
2004-02-05	1.207
2004-02-06	3.198
2004-02-07	9.114
2004-02-08	3.695
2004-02-09	6.618
2004-02-10	4.154
2004-02-11	5.292
2004-02-12	1.930
2004-02-13	1.424
2004-02-14	1.294
2004-02-15	0.892
2004-02-16	1.085
2004-02-17	0.911
2004-02-18	8.488
2004-02-19	26.042
