#ID	T_SAND	T_SILT	T_CLAY	T_USDA_TEX_CLASS	T_OC	S_SAND	S_SILT	S_CLAY	S_USDA_TEX_CLASS	S_OC
11000	7	54	39	4	1.3	12	45	43	2	0.5
11001	42	38	20	9	1.45	45	35	20	9	0.5
11002	49	28	23	9	0.98	47	26	27	10	0.47
11003	37	44	19	9	2.13	-99	-99	-99	-99	-99
11004	39	40	21	9	0.86	41	38	21	9	0.38
11005	42	36	22	9	1	41	34	25	9	0.37
11006	42	36	22	9	1	41	34	25	9	0.37
11007	42	38	20	9	1.45	45	35	20	9	0.5
11008	42	38	20	9	1.45	45	35	20	9	0.5
11009	42	36	22	9	1	41	34	25	9	0.37
11010	47	33	20	9	1.05	51	29	20	9	0.41
11011	47	33	20	9	1.05	51	29	20	9	0.41
11012	7	54	39	4	1.3	12	45	43	2	0.5
11013	38	18	44	3	0.98	35	14	51	3	0.47
11014	42	38	20	9	1.45	45	35	20	9	0.5
11015	42	38	20	9	1.45	45	35	20	9	0.5
11016	47	29	24	9	0.83	39	27	34	5	0.28
11017	16	29	55	3	1.65	18	24	58	3	0.77
11018	42	36	22	9	1	41	34	25	9	0.37
11019	42	38	20	9	1.45	45	35	20	9	0.5
11020	42	36	22	9	1	41	34	25	9	0.37
11021	39	40	21	9	0.86	41	38	21	9	0.38
11022	37	40	23	9	1.07	36	36	28	5	0.37
11023	38	18	44	3	0.98	35	14	51	3	0.47
11024	39	40	21	9	0.86	41	38	21	9	0.38
11025	42	36	22	9	1	41	34	25	9	0.37
11026	49	28	23	9	0.98	47	26	27	10	0.47
11027	37	40	23	9	1.07	36	36	28	5	0.37
11028	42	36	22	9	1	41	34	25	9	0.37
11029	42	36	22	9	1	41	34	25	9	0.37
11030	37	44	19	9	2.13	-99	-99	-99	-99	-99
11031	39	40	21	9	0.86	41	38	21	9	0.38
11032	42	38	20	9	1.45	45	35	20	9	0.5
11033	42	36	22	9	1	41	34	25	9	0.37
11034	42	36	22	9	1	41	34	25	9	0.37
11035	39	40	21	9	0.86	41	38	21	9	0.38
11036	42	36	22	9	1	41	34	25	9	0.37
11037	17	32	51	3	1.25	19	29	52	3	0.45
11038	38	18	44	3	0.98	35	14	51	3	0.47
11039	41	37	22	9	0.74	37	34	29	5	0.36
11040	17	32	51	3	1.25	19	29	52	3	0.45
11041	42	38	20	9	1.45	45	35	20	9	0.5
11042	39	40	21	9	0.86	41	38	21	9	0.38
11043	49	28	23	9	0.98	47	26	27	10	0.47
11044	37	40	23	9	1.07	36	36	28	5	0.37
11045	37	44	19	9	2.13	-99	-99	-99	-99	-99
11046	42	36	22	9	1	41	34	25	9	0.37
11047	37	40	23	9	1.07	36	36	28	5	0.37
